388,13
158,243
34,367
362,39
323,78
54,347
108,293
30,371
125,276
175,226
304,97
5,396
93,308
95,306
368,33
59,342
390,11
237,164
160,241
86,315
355,46
169,232
10,391
220,181
74,327
367,34
273,128
217,184
47,354
146,255
334,67
238,163
202,199
261,140
311,90
203,198
243,158
305,96
321,80
46,355
235,166
167,234
40,361
58,343
215,186
39,362
344,57
8,393
42,359
33,368
26,375
92,309
17,384
296,105
343,58
303,98
314,87
324,77
320,81
35,366
282,119
132,269
198,203
265,136
24,377
221,180
353,48
335,66
264,137
55,346
163,238
377,24
71,330
227,174
275,126
300,101
382,19
18,383
3,398
330,71
346,55
279,122
15,386
332,69
254,147
98,303
147,254
145,256
170,231
380,21
1,400
288,113
89,312
173,228
141,260
251,150
276,125
140,261
290,111
333,68
84,317
81,320
152,249
349,52
179,222
182,219
328,73
189,212
392,9
313,88
391,10
212,189
51,350
302,99
119,282
329,72
20,381
231,170
172,229
50,351
249,152
397,4
199,202
143,258
101,300
129,272
114,287
57,344
381,20
216,185
207,194
306,95
107,294
137,264
366,35
293,108
91,310
13,388
153,248
14,387
187,214
396,5
150,251
144,257
193,208
206,195
286,115
253,148
228,173
192,209
156,245
61,340
319,82
49,352
133,268
75,326
298,103
190,211
295,106
364,37
230,171
48,353
308,93
331,70
210,191
213,188
77,324
339,62
185,216
157,244
317,84
256,145
122,279
359,42
149,252
29,372
399,2
301,100
389,12
351,50
134,267
197,204
44,357
109,292
337,64
155,246
194,207
263,138
181,220
360,41
139,262
128,273
224,177
32,369
297,104
106,295
372,29
90,311
97,304
340,61
258,143
242,159
371,30
136,265
373,28
292,109
142,259
78,323
312,89
274,127
232,169
326,75
70,331
260,141
159,242
233,168
378,23
100,301
200,201
2,399
255,146
115,286
171,230
284,117
268,133
354,47
66,335
45,356
204,197
226,175
161,240
287,114
336,65
96,305
310,91
318,83
234,167
278,123
299,102
79,322
195,206
285,116
80,321
211,190
280,121
350,51
363,38
400,1
104,297
247,154
270,131
222,179
376,25
374,27
25,376
309,92
252,149
347,54
166,235
307,94
130,271
266,135
117,284
94,307
352,49
257,144
16,385
394,7
223,178
180,221
395,6
116,285
239,162
12,389
398,3
356,45
291,110
11,390
178,223
225,176
341,60
262,139
289,112
271,130
384,17
269,132
43,358
53,348
73,328
113,288
259,142
110,291
27,374
112,289
345,56
102,299
87,314
325,76
41,360
294,107
31,370
138,263
148,253
322,79
387,14
186,215
248,153
277,124
338,63
83,318
127,274
68,333
315,86
386,15
103,298
36,365
205,196
283,118
69,332
52,349
19,382
236,165
123,278
218,183
64,337
9,392
385,16
240,161
379,22
201,200
196,205
151,250
105,296
246,155
76,325
38,363
22,379
67,334
82,319
250,151
56,345
393,8
245,156
383,18
361,40
162,239
60,341
358,43
177,224
168,233
99,302
188,213
316,85
120,281
4,397
121,280
219,182
21,380
375,26
126,275
63,338
176,225
348,53
370,31
165,236
174,227
154,247
369,32
241,160
183,218
214,187
72,329
357,44
85,316
229,172
164,237
111,290
88,313
7,394
281,120
244,157
37,364
272,129
342,59
267,134
365,36
124,277
327,74
28,373
62,339
131,270
135,266
118,283
23,378
65,336
184,217
6,395
209,192
208,193
191,210
